url,label
linkedin.com,safe
zoocasa.com/en/real_estate/1147321-6995-Rue-Hadley-Le-SudOuest-QC,malicious
bleacherreport.com/articles/783332-2011-college-football-predictions-kansas-jayhawks,malicious
github.com,safe
google.com,safe
https://www.vvhitxzt.com,safe
linkedin.com,safe
oracle.com,safe
oracle.com,safe
github.com,safe
youtube.com/watch?v=73gZPztXlvQ,malicious
stackoverflow.com,safe
https://www.uushamkf.com,safe
stackoverflow.com,safe
https://www.lfowwdxh.net,safe
www.njlhpslc.com/images/?us.battle.net/login/en/?ref=gbkajnmus.battle.net/d3/en/index,malicious
salesforce.com,safe
wikipedia.org,safe
hammondscopy.com/img/paypal/secure-code103/home/5ff9359f1cc1f5830286fee5ebf3b720/,malicious
https://www.mfcmiukc.edu,safe
tesla.com,safe
https://www.ehiaqzxj.gov,safe
linkpendium.com/genealogy/USA/sur/surc-B/surc-Bou/sur-Bourassa/,malicious
https://www.fczjbdbe.gov,safe
adobe.com,safe
ibm.com,safe
fuxg.com/verify.PayPal.c0m.7/b98d68a798b428991f9a0f6616cfbcb4/a87c9f7493e17b6aaa1b0ff155ce5765/cgi-bin/en/account/login/index.php?cmd=_login-processing&login_cmd=_login-done&login_access=1322350432,malicious
http://pscatm.com/index.php?option=com_kunena&Itemid=55&func=latest,malicious
nvidia.com,safe
joyce-fraser.gonetoosoon.org/,malicious
stackoverflow.com,safe
adobe.com,safe
apple.com,safe
ibm.com,safe
adobe.com,safe
ibm.com,safe
google.com,safe
nvidia.com,safe
tools.ietf.org/html/rfc2059,malicious
salesforce.com,safe
google.com,safe
adobe.com,safe
salesforce.com,safe
oracle.com,safe
wikipedia.org,safe
https://www.ncqusqgc.org,safe
https://www.erbpffgq.net,safe
google.com,safe
https://www.hrcgnrao.net,safe
google.com,safe
https://www.btnibtxx.edu,safe
https://www.eicnhyga.net,safe
https://www.kandgwfm.gov,safe
github.com,safe
microsoft.com,safe
apple.com,safe
google.com,safe
https://www.hqfshkll.gov,safe
wikipedia.org,safe
salesforce.com,safe
oracle.com,safe
https://www.ijmcuvgo.net,safe
https://www.fatswgny.edu,safe
salesforce.com,safe
https://www.kqxprcxu.org,safe
https://www.swvypmqd.org,safe
stackoverflow.com,safe
adobe.com,safe
google.com,safe
nvidia.com,safe
ibm.com,safe
nvidia.com,safe
microsoft.com,safe
cupidonproductions.com/articles/golvisa/,malicious
https://www.zemmlfpi.net,safe
tesla.com,safe
apple.com,safe
17707paypal57433.techniicall.com/81936464502524829916?cmd=y5f6y566i515y5b6z5a6r556r5j4t5b614i616,malicious
https://www.yfkixfpd.org,safe
filipina-kisses.com/,malicious
ibm.com,safe
adobe.com,safe
ibm.com,safe
microsoft.com,safe
indeed.com/cmp/Standard-Life,malicious
oracle.com,safe
google.com,safe
stackoverflow.com,safe
ibm.com,safe
salesforce.com,safe
linkedin.com,safe
salesforce.com,safe
github.com,safe
https://www.fqpuudfm.gov,safe
tesla.com,safe
google.com,safe
salesforce.com,safe
https://www.hehrxmfb.org,safe
newdealfilms.com/documentaries.html,malicious
https://www.xbljxgiw.com,safe
wikipedia.org,safe
microsoft.com,safe
http://creche-hermonville.com/index.php?option=com_content&view=article&id=69&Itemid=18,malicious
salesforce.com,safe
massa846.h19.ru/,malicious
https://www.wrgdwvfq.gov,safe
https://www.ggtfwpjy.com,safe
linkedin.com,safe
imax.com/extras/news/imax-corporation-and-macgillivray-freeman-films-plan-long-term-content-alliance/,malicious
https://www.mkhebhwx.edu,safe
nvidia.com,safe
https://www.xfliluzp.gov,safe
https://www.xexlvgfq.net,safe
www.joelstrainroom.com/~belldesi/wwwfull/,malicious
https://www.tsbxrstn.edu,safe
linkedin.com,safe
wikipedia.org,safe
linkedin.com,safe
https://www.vikszecb.edu,safe
oracle.com,safe
https://www.nslqimyo.gov,safe
manta.com/c/mtx3l2y/mary-piepho-nejedly-supervisor,malicious
tesla.com,safe
linkedin.com/pub/dir/liam/o'neil,malicious
https://www.fixgbzfi.gov,safe
http://midas-medical.com/products/electrocardiographecg/index.html?print=1,malicious
homestars.com/ab/calgary/architects,malicious
umkc.edu/virtualtour/epperson-house.asp,malicious
ibm.com,safe
clubzone.com/c/20576/parc-emilie-gamelin-montreal,malicious
https://www.cknicosh.org,safe
apple.com,safe
http://121.226.140.193:34176/Mozi.m,malicious
https://www.wyzpedis.net,safe
microsoft.com,safe
oracle.com,safe
sydneycyclist.com/forum/topics/new-argon-18-cobalt,malicious
web4.uwindsor.ca/units/hr/CAWlocal/main.nsf/inToc/87BFCDAE77E5883385256FDD00530B68,malicious
ibm.com,safe
adobe.com,safe
kmbzinsiders.kmbz.com/terms.aspx,malicious
archive.org/stream/alphabeticalinde08prov/alphabeticalinde08prov_djvu.txt,malicious
https://www.wbymapsp.net,safe
nvidia.com,safe
https://www.fhkojaqp.net,safe
duquette.org/ENGLISH/Database/dat389.htm,malicious
salesforce.com,safe
http://www.eduvcm.com/Article/UploadFiles/201010/2010101307474861.jpg,malicious
adobe.com,safe
https://www.nxhkfmwn.net,safe
stackoverflow.com,safe
apple.com,safe
salesforce.com,safe
microsoft.com,safe
www.mobilemoneyavalanche.com/update/www.wellsfargo.com/wellsfargo/zooka123.php?id,malicious
news.webindia123.com/news/articles/Business/20111031/1862580.html,malicious
stackoverflow.com,safe
stackoverflow.com,safe
apple.com,safe
linkedin.com,safe
upperstjohn.com/history/missionaries.htm,malicious
tesla.com,safe
apple.com,safe
apple.com,safe
github.com,safe
apple.com,safe
nvidia.com,safe
neath.wordpress.com/2009/05/14/trouble-on-verdun-waterfront/,malicious
google.com,safe
blogs.suntimes.com/sweet/2011/08/how_illinois_house_members_vot.html,malicious
nvidia.com,safe
https://www.bztcchmp.gov,safe
tesla.com,safe
microsoft.com,safe
https://www.nibnmkez.net,safe
http://www.capella.nl/nl/nieuws.html,malicious
apple.com,safe
nvidia.com,safe
salesforce.com,safe
github.com,safe
en.wikipedia.org/wiki/Stefano_Giliati,malicious
adobe.com,safe
stackoverflow.com,safe
https://www.wjhnlhha.net,safe
nvidia.com,safe
stackoverflow.com,safe
ibm.com,safe
apple.com,safe
https://www.mvvbnwnl.edu,safe
wikipedia.org,safe
ouchbar.com/,malicious
https://www.hnurqooj.com,safe
montrachet.com.au/shop,malicious
nvidia.com,safe
ibm.com,safe
microsoft.com,safe
https://www.jowhsmff.com,safe
tesla.com,safe
apple.com,safe
adobe.com,safe
oracle.com,safe
brainyquote.com/quotes/authors/b/bruno_walter.html,malicious
wikipedia.org,safe
linkedin.com,safe
oracle.com,safe
https://www.ttfyfica.edu,safe
github.com,safe
tesla.com,safe
mahalo.com/eddie-cibrian/,malicious
wikipedia.org,safe
stackoverflow.com,safe
nvidia.com,safe
taurusproducciones.com,malicious
tesla.com,safe
apple.com,safe
https://www.jgzwychd.com,safe
stackoverflow.com,safe
fanpix.net/gallery/norman-mailer-pictures.htm,malicious
nvidia.com,safe
https://www.oerivmab.gov,safe
ibm.com,safe
wikipedia.org,safe
trail-race.com/race_results/IceAge50_res_2005.html,malicious
youtube.com/watch?v=Oihe0mI9nWg,malicious
salesforce.com,safe
adobe.com,safe
https://www.udbreeru.com,safe
https://www.hkdwtdny.edu,safe
recordproducer.typepad.com/record-producer/2011/02/the-civil-wars-1-digital-album-charting-12-billboard-200.html,malicious
https://www.byueqsre.gov,safe
apple.com,safe
adobe.com,safe
tesla.com,safe
https://www.gwmefmbu.com,safe
tesla.com,safe
https://www.mvjbjhdi.net,safe
https://www.rbexhdhg.net,safe
https://www.qqfgattt.gov,safe
google.com,safe
salesforce.com,safe
wikipedia.org,safe
microsoft.com,safe
https://www.alwsstom.edu,safe
https://www.rrddgfpv.gov,safe
https://www.hilyfipv.edu,safe
forums.thefashionspot.com/f51/serge-gainsbourg-vie-h-ro-que-77342.html,malicious
https://www.ifsdtjpi.com,safe
myspace.com/wallacebeery,malicious
stackoverflow.com,safe
yellowpages.azstarnet.com/nogales+az/food+city+supermarkets+no+111-united+drug+pharmacy+supermarkets+no+111-united+drug+pharmacy.zq.html,malicious
stackoverflow.com,safe
adobe.com,safe
https://www.mapzhhqy.gov,safe
nvidia.com,safe
apple.com,safe
adobe.com,safe
prowrestlinghistory.com/videos/wcw/listing/200.html,malicious
nvidia.com,safe
linkedin.com,safe
microsoft.com,safe
nvidia.com,safe
tesla.com,safe
oracle.com,safe
apple.com,safe
apple.com,safe
undiscoveredscotland.co.uk/usbiography/index.html,malicious
oracle.com,safe
microsoft.com,safe
linkedin.com,safe
nvidia.com,safe
stackoverflow.com,safe
washlaw.edu/lfirms/index.php?p=h,malicious
google.com,safe
http://www.uniaoparaobem.com.br/index.php?option=com_content&view=article&id=100:doacao-de-bercos&catid=46:artigo-inoformativo,malicious
www.hardythatching.co.uk/index.html,malicious
https://www.ibfrjozm.com,safe
ibm.com,safe
hotelsbycity.net/guides/can/quebec/anjou/,malicious
www.math.hawaii.edu/~hile/fortran/fortmain.htm,malicious
stackoverflow.com,safe
stackoverflow.com,safe
http://jezebel.com/ranking-the-hot-mostly-middle-aged-white-dudes-in-viag-1638191031/+laceydonohue,malicious
nvidia.com,safe
github.com,safe
supportasumh.com/news.html,malicious
wikipedia.org,safe
http://emgn.com/s/these-28-kitties-will-make-you-want-to-sleep-with-one-eye-open-2/,malicious
nvidia.com,safe
https://www.oirthjxj.gov,safe
adobe.com,safe
https://www.iatmkwgm.org,safe
microsoft.com,safe
https://www.qyrwxzms.net,safe
apple.com,safe
http://www.motiv8.cz/osobni-rozvoj/jan-muhlfeit-jak-si-vedeme-a-na-co-vsadit.html,malicious
coopcatalyst.wordpress.com/2011/10/28/how-important-is-the-level-of-academic-rigor-in-your-childs-preschool/,malicious
stackoverflow.com,safe
www.id206-natwest.com/index.php,malicious
github.com,safe
tools.ietf.org/html/rfc250,malicious
oracle.com,safe
google.com,safe
adobe.com,safe
nvidia.com,safe
wikipedia.org,safe
salesforce.com,safe
www.cse.buffalo.edu/jive/,malicious
www.users.globalnet.co.uk/~hedger/,malicious
github.com,safe
github.com,safe
apple.com,safe
https://www.ujtmfhjh.edu,safe
google.com,safe
wikipedia.org,safe
https://www.mrictjlv.org,safe
ibm.com,safe
wikipedia.org,safe
salesforce.com,safe
apple.com,safe
linkedin.com,safe
stackoverflow.com,safe
github.com,safe
http://koronazrt.hu/index.php/hu/vegyesiparcikk-uzleteink/festek-vegyi-es-papiraru-szakuzlet/56-festek-vegyi-es-papiraru-szakuezlet.html,malicious
google.com,safe
https://www.nzmwniur.org,safe
stackoverflow.com,safe
http://www.nfa.com.tr/index.php?option=com_content&view=article&id=90&Itemid=214,malicious
wikipedia.org,safe
stackoverflow.com,safe
github.com,safe
https://www.uwnxhuxt.net,safe
linkedin.com,safe
https://www.eerwkmeq.org,safe
http://foroalcazares.com/index.php/component/mailto/index.html?tmpl=component&link=ff0109eb13475e5c9ca6f92533a95516b23fafe4,malicious
theconningtower.blogspot.com/2011/11/north-coast-section-division-3-boys-100.html,malicious
linkedin.com,safe
google.com,safe
en.wikipedia.org/wiki/Bill_Hicks_discography,malicious
salesforce.com,safe
linkedin.com,safe
linkedin.com,safe
remstarbasicmseries.respironics.com/,malicious
google.com,safe
github.com,safe
https://www.cbkwoshy.org,safe
github.com,safe
nvidia.com,safe
https://www.wdacnlew.org,safe
http://seasonvar.ru/serial-11001-National_Geographic_Rossijskie_sekretnye_materialy.html,malicious
google.com,safe
https://www.ezzfkvgb.gov,safe
linkedin.com,safe
aaroads.com/california/i-580_ca.html,malicious
https://www.zcitkeps.com,safe
https://www.rkzgkwhr.org,safe
https://www.ladjnefu.edu,safe
https://www.qojbprua.net,safe
http://9779.info/%E6%BC%82%E4%BA%AE%E5%A2%99%E7%BA%B8%E8%B4%B4%E7%94%BB/,malicious
https://www.keixgkce.edu,safe
oracle.com,safe
https://www.bzksnwru.org,safe
salesforce.com,safe
github.com,safe
allrss.com/wikipedia.php?title=List_of_Czechs,malicious
salesforce.com,safe
https://www.qxovshwl.net,safe
adobe.com,safe
mcscipurwakarta.ga,malicious
linkedin.com,safe
adobe.com,safe
https://www.gfswuwmh.net,safe
stackoverflow.com,safe
apple.com,safe
going-underground-digital.de/,malicious
adobe.com,safe
github.com,safe
http://www.cuartoestudio.com/home.html,malicious
mylife.com/c-1834362352,malicious
stackoverflow.com,safe
nvidia.com,safe
linkedin.com,safe
https://www.wdhzjaai.com,safe
https://www.erhsvftn.gov,safe
apple.com,safe
stackoverflow.com,safe
http://104.211.28.157/x86,malicious
linkedin.com,safe
adobe.com,safe
http://krim-transfer.ru/document/adobe,malicious
microsoft.com,safe
http://danglen.com/services,malicious
https://www.abvlzhkb.gov,safe
google.com,safe
salesforce.com,safe
https://www.lnzsovrh.edu,safe
https://www.verdbkmw.org,safe
nvidia.com,safe
oracle.com,safe
acm.yonderhost.co/dekkk/daasf/kjsfaj/de/.9d4f47e6389393e534a5e8a8f2/cgi-bin/webscrcmd=_login-run&dispatch=5885d80a13c0db1f8e263663d3faee8dc60d77e6184470d51976060a4ab6ee74.php,malicious
nvidia.com,safe
https://www.jsalocuo.org,safe
tesla.com,safe
sportsillustrated.cnn.com/hockey/nhl/teams/montreal-canadiens/,malicious
http://vektorpm.ru/home.html,malicious
salesforce.com,safe
https://www.xpdybhhz.org,safe
http://www.felixservis.es/x.txt,malicious
linkedin.com,safe
linkedin.com,safe
https://www.ehypvaos.gov,safe
manta.com/ic/mt6fvxq/ca/devoir-inc-le,malicious
https://www.scxypvzb.edu,safe
mcgarrigles.com/music/la-vache-qui-pleure,malicious
salesforce.com,safe
microsoft.com,safe
https://www.lwqxlrar.org,safe
salesforce.com,safe
microsoft.com,safe
linkedin.com,safe
https://www.klsicqml.com,safe
https://www.xryinqwt.org,safe
nvidia.com,safe
salesforce.com,safe
google.com,safe
oracle.com,safe
microsoft.com,safe
stackoverflow.com,safe
apple.com,safe
https://www.mracnkxp.com,safe
parl.gc.ca/compendium/web-content/c_d_prorogationparliament-e.htm,malicious
https://www.ebgylxty.edu,safe
nvidia.com,safe
https://www.rzcjxczt.net,safe
https://www.yobizoth.edu,safe
namesdir.com/F_Benoit,malicious
http://rus-master.com/\321%82\321%80ะตะฑ\321%83ะต\321%82\321%81\321%8F-\321%80ะตะผะพะฝ\321%82-ะบะฒะฐ\321%80\321%82ะธ\321%80\321%8B.html,malicious
github.com,safe
google.com,safe
ebay.com/itm/James-J-Jeffries-8x10-B-W-photo-/140216589457,malicious
nvidia.com,safe
litigation-essentials.lexisnexis.com/webcd/app?action=DocumentDisplay&crawlid=1&doctype=cite&docid=39+S.D.+L.+REV.+469&srctype=smi&srcid=3B15&key=8b062fd1fa9e05e461c2b8a4dcc3e796,malicious
nvidia.com,safe
github.com,safe
google.com,safe
linkedin.com,safe
stackoverflow.com,safe
https://www.xpnssjsp.org,safe
oracle.com,safe
apple.com,safe
microsoft.com,safe
wikipedia.org,safe
gamblingweblog.com/2008/07/30/tennis/,malicious
https://www.ifbwsdme.net,safe
adobe.com,safe
tesla.com,safe
stackoverflow.com,safe
salesforce.com,safe
ibm.com,safe
hellolowell.com/,malicious
oracle.com,safe
https://www.xtiusprx.com,safe
tesla.com,safe
linkedin.com/pub/dir/rudy/reyes,malicious
salesforce.com,safe
apple.com,safe
oracle.com,safe
lib.uwo.ca/programs/companyinformationcanada/cr-ironore.htm,malicious
oracle.com,safe
https://www.wfeynblg.net,safe
wikipedia.org,safe
tesla.com,safe
google.com,safe
apple.com,safe
apple.com,safe
linkedin.com,safe
https://www.hsndnyfs.com,safe
salesforce.com,safe
test-support122.ml,malicious
https://www.yqaieqvu.edu,safe
nvidia.com,safe
tesla.com,safe
tesla.com,safe
stackoverflow.com,safe
https://www.mvqxguxv.org,safe
http://ecnavi.jp/redirect/?url=http://ad-4228.affit.jp/c.ts/39g.1/-/1g.html?mu=%user_id%,malicious
https://mail.beloinox.pl/verify.php,malicious
github.com,safe
https://www.rzdygfun.com,safe
salesforce.com,safe
salesforce.com,safe
http://www.stolizaparketa.ru/wp-content/themes/twentyfifteen/css/read/chinavali/index.php?email=info,malicious
oracle.com,safe
members.tripod.com/~fantasian/,malicious
linkedin.com,safe
https://www.htehrsly.com,safe
http://www.drscottstoll.com/our-vision.1,malicious
ibm.com,safe
https://www.erholupl.gov,safe
linkedin.com,safe
microsoft.com,safe
ibm.com,safe
https://www.qxehyfdi.com,safe
netflix.com/Movie/Crooklyn/407983,malicious
gamerzplanet.net/forums/downloads-torrents/521647-us-trapeze.html,malicious
google.com,safe
cprr.org/Museum/Maps/New_RR_Map_CA-NV.html,malicious
salesforce.com,safe
adobe.com,safe
github.com,safe
ibm.com,safe
http://polskizwiazekpokera.org/index.php?option=com_content&view=article&id=93&Itemid=121,malicious
salesforce.com,safe
http://www.semanasanta-benifaio.com/index.php?option=com_content&view=article&id=63&Itemid=121,malicious
google.com,safe
wikipedia.org,safe
info01227932100net.000webhostapp.com,malicious
ibm.com,safe
debraforce.com/artists,malicious
oracle.com,safe
wikipedia.org,safe
soccermundialnet.blogspot.com/2011/10/pan-am-games-2011-with-its-second-win.html,malicious
nvidia.com,safe
nvidia.com,safe
apple.com,safe
historyforsale.com/html/display.aspx?page=48&sort=0&signer=D&dpp=25&recadd=&spec=0&frmd=0&rng=0,malicious
https://www.fgohgzad.net,safe
nvidia.com,safe
ibm.com,safe
adobe.com,safe
adobe.com,safe
wikipedia.org,safe
https://www.fkqrnqjc.net,safe
wikipedia.org,safe
tesla.com,safe
https://www.itkakviw.org,safe
www.flexiant.com/products/flexiscale/,malicious
nvidia.com,safe
https://www.gxnwayei.org,safe
https://www.xbgevfja.net,safe
apple.com,safe
http://office-cloud-reserve.com/2.bin,malicious
linkedin.com,safe
linkedin.com,safe
https://www.rqzmlrjq.edu,safe
microsoft.com,safe
ibm.com,safe
https://www.eijzmsuz.org,safe
apple.com,safe
nvidia.com,safe
https://www.agkbxnqw.com,safe
https://www.lxlvyejt.edu,safe
nvidia.com,safe
salesforce.com,safe
https://www.qfmrqeox.org,safe
singularity.net/,malicious
rotowire.com/hockey/player.htm?ID=157,malicious
salesforce.com,safe
microsoft.com,safe
ibm.com,safe
microsoft.com,safe
sfos.uaf.edu/kbay/,malicious
mylife.com/high-schools/on/scarborough/albert-campbell-col-institute/,malicious
fantasysp.com/player/mlb/Darren_Oliver/1934233/darren-oliver-will-play-in-2012-and-he-has-made-it-clear-that,malicious
oracle.com,safe
wikipedia.org,safe
oracle.com,safe
adobe.com,safe
salesforce.com,safe
adobe.com,safe
microsoft.com,safe
tvguide.com/celebrities/judith-chapman/159139,malicious
google.com,safe
https://www.bvgkurjc.org,safe
stackoverflow.com,safe
https://www.ebssphqa.org,safe
https://www.ttxjpboy.org,safe
voicesnet.org/displayonepoem.aspx?poemid=60081,malicious
https://www.uappztan.gov,safe
answers.com/topic/1926,malicious
google.com,safe
https://www.kebltheo.edu,safe
ibm.com,safe
https://www.orilpwtx.org,safe
stackoverflow.com,safe
southendzone.com/schedule/,malicious
google.com,safe
facebook.com/hawaiianbeach,malicious
https://www.vydphhrr.edu,safe
http://tunein.com/radio/Buzzoutroom-Radio-s54303/15480783/ca-pub-1542925551861702/StationLeader,malicious
tesla.com,safe
microsoft.com,safe
duckduckgo.com/1/c/American_ice_hockey_players,malicious
nvidia.com,safe
wikipedia.org,safe
wikipedia.org,safe
ib.nab.com.au.feel-pleasant.com,malicious
apple.com,safe
google.com,safe
https://www.oszjsazs.com,safe
linkedin.com,safe
apple.com,safe
google.com,safe
tesla.com,safe
github.com,safe
apple.com,safe
linkedin.com,safe
oracle.com,safe
nvidia.com,safe
https://www.dwqvjija.com,safe
nancygarcia.org/,malicious
google.com,safe
https://www.ihbflitd.edu,safe
salesforce.com,safe
google.com,safe
allcitychessclub.net/2011/09/lupe-fiasco-talks-food-liquor-album.html,malicious
http://kenh14.vn/tv-show/xuat-hien-thien-than-5-tuoi-thach-thuc-tran-thanh-viet-huong-20150514112839273.chn,malicious
microsoft.com,safe
restaurantica.com/qc/montreal--nord/c-haitian/,malicious
ibm.com,safe
https://www.gplchtom.edu,safe
nvidia.com,safe
https://www.rgauknlg.org,safe
obesitylapbandsurgery.com/tecmain.html,malicious
http://cbi.bpergruop.net,malicious
github.com,safe
ibm.com,safe
https://www.nbqsasbq.net,safe
wikipedia.org,safe
https://www.mqiijfgl.edu,safe
https://www.afkkgnaw.org,safe
ibm.com,safe
https://www.tfkyudrc.gov,safe
stackoverflow.com,safe
https://www.etsvyktt.gov,safe
http://www.inwido.co.uk/contact-us/inwido-uk-ltd.html,malicious
webposible.com/microformatos-dublincore/microformats_dublin-core.html,malicious
https://www.devxzdub.edu,safe
en.montrealalouettes.com/roster/show/id/301,malicious
wikipedia.org,safe
https://www.xnkiomsd.org,safe
nvidia.com,safe
ibm.com,safe
oracle.com,safe
nj.gov/njbusiness/,malicious
github.com,safe
we3d.net/ethan-hawke-welcomes-his-fourth-child/,malicious
https://www.jilpgznr.gov,safe
https://www.vmfwmrci.edu,safe
ibm.com,safe
http://www.alte-druckerei.de/index.php/tube-amp-service/roehren/51-farben?tmpl=component&print=1&layout=default&page=,malicious
linkedin.com,safe
adobe.com,safe
adobe.com,safe
salesforce.com,safe
http://209.141.42.130/sparc,malicious
http://thenextweb.com/apps/2011/05/17/brilliant-screenstagram-a-screensaver-for-instagram/,malicious
google.com,safe
https://www.scfwxyyv.net,safe
https://www.easugwdo.net,safe
linkedin.com,safe
microsoft.com,safe
https://www.rasagpba.net,safe
https://www.uwivsxem.org,safe
adobe.com,safe
https://www.claoemop.edu,safe
linkedin.com,safe
stackoverflow.com,safe
https://www.aqbehdxv.org,safe
google.com,safe
tesla.com,safe
stephenkent.net/,malicious
stackoverflow.com,safe
wikipedia.org,safe
https://www.mnbofqyn.gov,safe
microsoft.com,safe
apple.com,safe
google.com,safe
city-data.com/forum/kansas-city/270386-st-therese-school.html,malicious
wtpotus.wordpress.com/2011/09/28/brightsource-energy-lights-the-way-to-more-obama-scandals/,malicious
id0498372885938paypal.com.au.account.verification-re5983202k.com.au.mubashar786.com/.vbv/a12d932ad5cd8d2ccf2e78239dc89b26/408359ba50e4f5373fd3963f0c962548/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4,malicious
nvidia.com,safe
